family,n_models,n_obs,n_domains_kept,n_factors_kaiser,n_factors_pa,ev1,ev2,ev3,ev_ratio,pct_first3
Anthropic,2,34,17,3,3,7.357791662642069,4.368601777976749,2.7765711177110606,1.6842440754693182,85.31155622546987
OpenAI,2,34,17,3,3,7.19759440995319,4.436238617719763,3.2373554097734756,1.6224542974770755,87.47757904380256
Google,4,68,17,3,3,7.223863062138976,4.1489441625143915,3.1895110024417233,1.7411328712028475,85.66069545350055
DeepSeek,3,51,17,3,3,6.796881369482513,4.971046562234485,3.033258608868982,1.3672938453481946,87.06580317991754
Alibaba,3,51,17,3,3,6.919821944779894,4.410913258984322,3.216571728486897,1.5687957433044797,85.57239371912416
Zhipu,3,51,17,3,3,7.185518658849614,4.450837140730529,3.258114469521772,1.6144195870690143,87.61453099471713
Moonshot,2,34,17,3,3,7.365795355037626,4.844973270637061,3.0630411735584313,1.5202963862933976,89.84593999548885
MiniMax,1,17,17,3,4,7.123830168646462,5.001065714754782,2.9961602334484523,1.4244624196056512,88.94738892264527
