model,persona,psd,delta_norm,empirical_cosine,empirical_projection,empirical_projection_per_dim,empirical_off_target_leakage,empirical_target_norm,theory_cosine,theory_projection,theory_projection_per_dim,theory_off_target_leakage,theory_target_norm
Claude-Opus-4.6,ISTJ,1.1916005407517012,4.913094893062386,0.7934848446658906,3.8984663380503877,0.945516969982155,0.7251961860045263,0.8405361833256563,0.48744187543545026,2.3948481888666624,0.580836002353906,1.0404524915099584,0.48507125007266594
Claude-Opus-4.6,ISFJ,1.3532162652184894,5.579453595799674,0.8477679881349922,4.730082149803637,1.1472134306758268,0.7177016127394984,0.849581375521472,0.36405335603884864,2.031218806413893,0.49264292279914773,1.2603559858499462,0.48507125007266594
Claude-Opus-4.6,INFJ,1.2886513935240258,5.313245810098948,0.8816505038644811,4.684425845629581,1.136140150406123,0.6081183870485792,0.9383849473097091,0.3289369836178262,1.7477230499940013,0.4238851023207013,1.2169403576437021,0.48507125007266594
Claude-Opus-4.6,INTJ,1.0749538976385935,4.432148462633315,0.76465795474272,3.389077578553282,0.8219720488110421,0.6927393687540656,0.7596014856740249,0.4264961086053875,1.8902940720744597,0.45846365427305413,0.9722844027130134,0.48507125007266594
Claude-Opus-4.6,ISTP,1.0981378851954984,4.52773849215344,0.8046952410111808,3.6434496171790127,0.8836663301908999,0.6519514029347503,0.7243033367343096,0.6853241130388329,3.102968366206839,0.7525803721659446,0.7997059449148857,0.48507125007266594
Claude-Opus-4.6,ISFP,1.3000881752895577,5.360400869335375,0.8725524405246518,4.677230860729046,1.134395110246145,0.6351196716976798,0.9018607500264896,0.25173135314798106,1.3493809642534078,0.32727295557732994,1.2582216323348645,0.48507125007266594
Claude-Opus-4.6,INFP,1.5084008054803744,6.219295846762342,0.9002646083063159,5.599011939426597,1.3579598603147205,0.6566719178919309,1.1864916167105621,0.3993751590641966,2.483832268068008,0.6024178116212868,1.3828831368612686,0.48507125007266594
Claude-Opus-4.6,INTP,1.097273576330697,4.524174855410707,0.8267902991445377,3.740543882087214,0.9072151484178539,0.6172276531351539,0.7174157712076252,0.587837220021866,2.6594783698974576,0.6450182487136878,0.8876715384306774,0.48507125007266594
Claude-Opus-4.6,ESTP,1.5513407480843813,6.396341765676622,0.9196619168847155,5.8824719292719285,1.4267090061246506,0.6092286340199541,1.5196189056552225,0.8090627066433415,5.1750415815541775,1.2551319445712557,0.9117575984787767,0.48507125007266594
Claude-Opus-4.6,ESFP,1.1290888456344363,4.655352571257495,0.8357949549126952,3.890920192396858,0.9436867608294609,0.6199168644030457,1.1506285281255058,0.4246451767309748,1.976873015366637,0.47946213239940755,1.0222317178267937,0.48507125007266594
Claude-Opus-4.6,ENFP,1.3381481901348125,5.517326330654936,0.8699061306068394,4.799555999595267,1.16406331425872,0.6599978629950849,1.2853722167020685,0.48991886004679414,2.703042226420628,0.6555840358845281,1.1665548211097616,0.48507125007266594
Claude-Opus-4.6,ENTP,1.4242773862424996,5.8724461036564675,0.9297967061754121,5.460181044372416,1.3242884224084013,0.5242387311491145,1.464749816787542,0.7778954825478309,4.568149295539977,1.1079389446530725,0.8950069094050624,0.48507125007266594
Claude-Opus-4.6,ESTJ,1.2438671337303677,5.128595576604594,0.8421565317763294,4.319080263676749,1.0475308313329301,0.6707343764721924,1.1103514498070246,0.7796706714410667,3.9986155567609885,0.9698067233390308,0.7788968903141242,0.48507125007266594
Claude-Opus-4.6,ESFJ,1.1432639373763072,4.713797971762049,0.7740173745278579,3.6485615301580028,0.8849061512003906,0.7238739766512458,0.9913869864242376,0.4882494504048829,2.301509269032472,0.5581979890917045,0.997731143885543,0.48507125007266594
Claude-Opus-4.6,ENFJ,1.114418319677965,4.594864443155598,0.8106627082832182,3.7248852536827783,0.9034173731905724,0.6525068896581131,1.0386205588633672,0.281743429357939,1.294572865649515,0.31398003912538186,1.0692729895890398,0.48507125007266594
Claude-Opus-4.6,ENTJ,1.175003553066019,4.844663759767243,0.8717456383607509,4.22331450190149,1.0243042224436871,0.5757032304944992,1.0926730240593139,0.516220451153677,2.5009145117549147,0.6065608642709137,1.0063385452484126,0.48507125007266594
Claude-Sonnet-4.6,ISTJ,1.0635986697720283,4.38532965873651,0.8757763183693299,3.840567863364091,0.9314745272354636,0.5134173112121343,0.8416832452607439,0.3766904382545915,1.651911751040314,0.40064744904342586,0.9852531410332187,0.48507125007266594
