persona,domain,scale,mean,sd,cv,min,max,range,n_models
Default,Neuroticism,IPIP-NEO-120,1.913325,0.706995956052791,0.36951169093216835,1.05,3.15,2.0999999999999996,20
Default,Extraversion,IPIP-NEO-120,2.91958,0.39141663940103516,0.13406607779236573,2.4333,3.8417,1.4083999999999999,20
Default,Openness,IPIP-NEO-120,3.5225,0.3775608494004642,0.10718547889296358,3.05,4.375,1.3250000000000002,20
Default,Agreeableness,IPIP-NEO-120,4.21448,0.2733123663502988,0.06485079211440055,3.7667,4.6833,0.9165999999999999,20
Default,Conscientiousness,IPIP-NEO-120,4.202495000000001,0.37077692144333907,0.08822780787207099,3.55,4.875,1.3250000000000002,20
Default,Machiavellianism,SD3,2.43889,0.2686023974204251,0.11013305127349945,2.1111,2.9111,0.7999999999999998,20
Default,Narcissism,SD3,2.773335,0.2522603799152773,0.09095921694107538,2.2889,3.2222,0.9333,20
Default,Psychopathy,SD3,1.5843450000000001,0.5391082344715206,0.3402719953491951,1.0,2.9545,1.9545,20
Default,Activity,ZKPQ-50-CC,0.24999999999999994,0.15830350596243914,0.6332140238497567,0.04,0.6,0.5599999999999999,20
Default,Aggression-Hostility,ZKPQ-50-CC,0.25399999999999995,0.13756453031214114,0.5415926390241779,0.06,0.62,0.56,20
Default,Impulsive_Sensation_Seeking,ZKPQ-50-CC,0.21199999999999997,0.30386839256493925,1.4333414743629211,0.0,0.9,0.9,20
Default,Neuroticism-Anxiety,ZKPQ-50-CC,0.22200000000000003,0.30508359510140826,1.3742504283847217,0.0,0.8,0.8,20
Default,Sociability,ZKPQ-50-CC,0.3590000000000001,0.12222520198387893,0.34046017265704426,0.1,0.6,0.5,20
Default,Psychoticism,EPQR-A,0.18336000000000002,0.04532230576658694,0.24717662394517306,0.1667,0.3333,0.1666,20
Default,Extraversion,EPQR-A,0.463335,0.1766761338579719,0.38131402518258256,0.0667,0.8667,0.8,20
Default,Neuroticism,EPQR-A,0.06167,0.13754849726550994,2.230395609948272,0.0,0.5333,0.5333,20
Default,Lie,EPQR-A,0.2733250000000001,0.11183867790259326,0.4091783697158812,0.0,0.3667,0.3667,20
INTJ,Neuroticism,IPIP-NEO-120,1.649165,0.1914545148984479,0.11609178881339823,1.325,1.975,0.6500000000000001,20
INTJ,Extraversion,IPIP-NEO-120,2.216675,0.16495630898816807,0.07441610023488697,1.9917,2.5,0.5083,20
INTJ,Openness,IPIP-NEO-120,3.575,0.13116349339660027,0.03668908906198609,3.2333,3.7333,0.5,20
INTJ,Agreeableness,IPIP-NEO-120,3.01626,0.23220860319979533,0.07698560575009958,2.7583,3.6667,0.9083999999999999,20
INTJ,Conscientiousness,IPIP-NEO-120,4.589589999999999,0.13039797889538018,0.028411683591645486,4.2417,4.7833,0.5415999999999999,20
INTJ,Machiavellianism,SD3,3.230005,0.3548789701785667,0.10986948013348793,2.6667,3.8889,1.2222,20
INTJ,Narcissism,SD3,3.0222100000000003,0.2572392852967835,0.08511628420817333,2.6222,3.7111,1.0889000000000002,20
INTJ,Psychopathy,SD3,1.9866699999999997,0.2195751582032904,0.11052422304826189,1.5556,2.5556,1.0,20
INTJ,Activity,ZKPQ-50-CC,0.5170000000000001,0.16028412273210346,0.310027316696525,0.26,1.0,0.74,20
INTJ,Aggression-Hostility,ZKPQ-50-CC,0.35100000000000003,0.10648474069086143,0.3033753296035938,0.2,0.7,0.49999999999999994,20
INTJ,Impulsive_Sensation_Seeking,ZKPQ-50-CC,0.045,0.04811444689487763,1.0692099309972807,0.0,0.12,0.12,20
INTJ,Neuroticism-Anxiety,ZKPQ-50-CC,0.06500000000000002,0.05286775955154522,0.8133501469468494,0.0,0.2,0.2,20
INTJ,Sociability,ZKPQ-50-CC,0.0,0.0,,0.0,0.0,0.0,20
INTJ,Psychoticism,EPQR-A,0.17503,0.023270154705115308,0.13294952125415818,0.1667,0.2667,0.1,20
INTJ,Extraversion,EPQR-A,0.0016650000000000002,0.007257566740995223,4.358898943540674,0.0,0.0333,0.0333,20
INTJ,Neuroticism,EPQR-A,0.02334,0.04230734451605301,1.812654006686076,0.0,0.1667,0.1667,20
INTJ,Lie,EPQR-A,0.510005,0.12829138114074537,0.2515492615577207,0.2333,0.6667,0.43339999999999995,20
INTP,Neuroticism,IPIP-NEO-120,2.294585,0.17875529719423702,0.0779031054392132,1.9667,2.5917,0.625,20
INTP,Extraversion,IPIP-NEO-120,1.7908300000000001,0.24170464228061483,0.1349679435125695,1.4167,2.2333,0.8165999999999998,20
INTP,Openness,IPIP-NEO-120,3.9933349999999996,0.13582472630195136,0.034012855495957985,3.725,4.1667,0.44169999999999954,20
INTP,Agreeableness,IPIP-NEO-120,3.3225049999999996,0.1797600191227182,0.05410376180704565,3.0667,3.5917,0.5249999999999999,20
INTP,Conscientiousness,IPIP-NEO-120,3.0250050000000006,0.23517180629276122,0.0777426173817105,2.6417,3.6667,1.025,20
INTP,Machiavellianism,SD3,2.5933400000000004,0.1761177799087872,0.0679115657448646,2.3333,2.9333,0.6000000000000001,20
INTP,Narcissism,SD3,1.9799900000000001,0.21940918599730508,0.11081327986368873,1.6444,2.3111,0.6667000000000001,20
INTP,Psychopathy,SD3,1.740005,0.23265898967157922,0.13371167880068116,1.4667,2.2222,0.7555000000000001,20
INTP,Activity,ZKPQ-50-CC,0.023,0.034219877264537346,1.4878207506320587,0.0,0.1,0.1,20
INTP,Aggression-Hostility,ZKPQ-50-CC,0.24500000000000002,0.09977474630386188,0.4072438624647423,0.1,0.58,0.48,20
INTP,Impulsive_Sensation_Seeking,ZKPQ-50-CC,0.266,0.0938296328459192,0.3527429806237564,0.12,0.54,0.42000000000000004,20
INTP,Neuroticism-Anxiety,ZKPQ-50-CC,0.187,0.0982395032560731,0.5253449371982518,0.02,0.42,0.39999999999999997,20
INTP,Sociability,ZKPQ-50-CC,0.001,0.004358898943540674,4.358898943540674,0.0,0.02,0.02,20
INTP,Psychoticism,EPQR-A,0.30000000000000004,0.09189245344423012,0.3063081781474337,0.1667,0.5,0.33330000000000004,20
INTP,Extraversion,EPQR-A,0.0,0.0,,0.0,0.0,0.0,20
INTP,Neuroticism,EPQR-A,0.036664999999999996,0.06315861995800731,1.7225861164054908,0.0,0.2,0.2,20
INTP,Lie,EPQR-A,0.18833000000000003,0.1155904195857079,0.6137653033808097,0.0,0.3333,0.3333,20
INFJ,Neuroticism,IPIP-NEO-120,2.63667,0.1547030513596936,0.058673649474410366,2.35,2.9667,0.6166999999999998,20
INFJ,Extraversion,IPIP-NEO-120,2.504585,0.2942877576029964,0.11749960875873504,2.0167,3.0417,1.025,20
INFJ,Openness,IPIP-NEO-120,4.382915000000001,0.10157328032017071,0.023174823221570735,4.0833,4.5417,0.45839999999999925,20
INFJ,Agreeableness,IPIP-NEO-120,4.434585,0.10528672886456299,0.023742183059872114,4.2167,4.6167,0.39999999999999947,20
INFJ,Conscientiousness,IPIP-NEO-120,4.57418,0.18649008177380366,0.04077016684385041,4.1917,4.9417,0.75,20
INFJ,Machiavellianism,SD3,2.16111,0.22008951792395748,0.10184096039718361,1.8444,2.7778,0.9334,20
INFJ,Narcissism,SD3,2.5144549999999994,0.2978296047658795,0.1184469814595527,1.9778,3.1778,1.2,20
INFJ,Psychopathy,SD3,1.2933249999999998,0.22150595900562137,0.17126859761128982,1.0,2.0222,1.0222000000000002,20
INFJ,Activity,ZKPQ-50-CC,0.21599999999999997,0.14093970341958295,0.6524986269425137,0.06,0.68,0.6200000000000001,20
INFJ,Aggression-Hostility,ZKPQ-50-CC,0.18000000000000002,0.058309518948453,0.32394177193584994,0.1,0.36,0.26,20
INFJ,Impulsive_Sensation_Seeking,ZKPQ-50-CC,0.043,0.08515280382935139,1.9802977634732883,0.0,0.38,0.38,20
INFJ,Neuroticism-Anxiety,ZKPQ-50-CC,0.651,0.1499966666296288,0.230409626159184,0.36,0.9,0.54,20
INFJ,Sociability,ZKPQ-50-CC,0.073,0.1230081298126266,1.6850428741455699,0.0,0.5,0.5,20
INFJ,Psychoticism,EPQR-A,0.065,0.0710883675435018,1.0936671929769508,0.0,0.2,0.2,20
INFJ,Extraversion,EPQR-A,0.021670000000000002,0.03982698959248615,1.8378859987303253,0.0,0.1333,0.1333,20
INFJ,Neuroticism,EPQR-A,0.876675,0.09838050048154869,0.11222003648050724,0.7,1.0,0.30000000000000004,20
INFJ,Lie,EPQR-A,0.5849949999999999,0.13142114546373426,0.22465345082220237,0.3667,0.8333,0.4666,20
INFP,Neuroticism,IPIP-NEO-120,3.204175,0.2612385842003435,0.0815306854963738,2.8333,3.7,0.8667000000000002,20
INFP,Extraversion,IPIP-NEO-120,2.40167,0.27789169670934755,0.1157076936920341,1.975,2.9167,0.9417,20
INFP,Openness,IPIP-NEO-120,4.6620800000000004,0.09561405022275764,0.02050888234924275,4.4333,4.8333,0.40000000000000036,20
INFP,Agreeableness,IPIP-NEO-120,4.553745,0.10721462341956908,0.023544274749589422,4.3,4.6833,0.3833000000000002,20
INFP,Conscientiousness,IPIP-NEO-120,3.4233199999999995,0.24453330979643656,0.07143162479593979,3.1167,3.9583,0.8416000000000001,20
INFP,Machiavellianism,SD3,1.7189,0.21888827058570318,0.12734206212444188,1.4444,2.2444,0.8000000000000003,20
INFP,Narcissism,SD3,2.1866600000000003,0.21227217763993467,0.09707598695724742,1.7778,2.5111,0.7332999999999998,20
INFP,Psychopathy,SD3,1.3188900000000001,0.1812541582971271,0.13742932185180498,1.1111,1.8222,0.7111000000000001,20
