k,mean_PIR,rho_k5,MAE
1,0.323178684204226,0.831578947368421,0.054352107153623264
2,0.2998978259703765,0.9203007518796992,0.03107124891977378
3,0.28300730236261107,0.9804511278195487,0.01418072531200833
4,0.27656454859867263,0.993984962406015,0.007737971548069898
5,0.26882657705060276,1.0,0.0
