scale1,domain1,scale2,domain2,expected,r,n_models,sign_match
IPIP-NEO-120,Neuroticism,ZKPQ-50-CC,Neuroticism-Anxiety,positive,0.6412807089303472,20,True
IPIP-NEO-120,Extraversion,ZKPQ-50-CC,Sociability,positive,-0.06844760706253673,20,False
IPIP-NEO-120,Extraversion,EPQR-A,Extraversion,positive,0.5565036407074926,20,True
IPIP-NEO-120,Neuroticism,EPQR-A,Neuroticism,positive,0.4834503574932035,20,True
IPIP-NEO-120,Agreeableness,SD3,Machiavellianism,negative,-0.7085359369414073,20,True
IPIP-NEO-120,Agreeableness,SD3,Psychopathy,negative,-0.8120340528176015,20,True
IPIP-NEO-120,Conscientiousness,SD3,Psychopathy,negative,-0.7296495582302502,20,True
EPQR-A,Psychoticism,SD3,Psychopathy,positive,0.10949362633527243,20,True
