held_persona,n_factors,first_eigenvalue
Default,3,7.1276067017180695
ISTJ,3,7.085591024501984
ISFJ,3,6.620517227078217
INFJ,3,6.621732744990536
INTJ,3,7.246268512100445
ISTP,3,7.270571568417758
ISFP,3,6.871739448718071
INFP,3,6.899953622032083
INTP,3,7.27803791945618
ESTP,3,6.245701919343762
ESFP,3,6.963761959856291
ENFP,3,7.239196559228422
ENTP,3,6.433595431934075
ESTJ,3,7.264522282464446
ESFJ,3,7.324206280343688
ENFJ,3,7.343069938125357
ENTJ,3,6.97392528226538
