model,persona,psd,delta_norm,empirical_cosine,empirical_projection,empirical_projection_per_dim,empirical_off_target_leakage,empirical_target_norm,theory_cosine,theory_projection,theory_projection_per_dim,theory_off_target_leakage,theory_target_norm
Claude-Opus-4.6,ISTJ,1.1976579009866068,4.938070029123318,0.7719931228595648,3.812156102682132,0.924583663100082,0.7612683480377199,0.8931957277860715,0.49200580154060436,2.4295591027424535,0.5892546355463533,1.0426712915788847,0.48507125007266594
Claude-Opus-4.6,ISFJ,1.3553688583376307,5.588328964598871,0.8050895090424202,4.499105022476441,1.0911932487304286,0.803941562600532,0.8647455348535391,0.3661820059883169,2.0463455103794286,0.4963116874001685,1.2612293411990736,0.48507125007266594
Claude-Opus-4.6,INFJ,1.290599883681883,5.32127964083027,0.855666693356765,4.553241754695912,1.1043233349167025,0.6679206777141599,0.9182769438933792,0.3301756723237193,1.756957083033654,0.42612468429557965,1.2182223989049301,0.48507125007266594
Claude-Opus-4.6,INTJ,1.079999925842023,4.452953769905901,0.7475429354842501,3.328774132731115,0.8073463148867183,0.7173505193819901,0.7834748504520681,0.42980965373295993,1.9139225179321337,0.46419439415778224,0.9751530158140641,0.48507125007266594
Claude-Opus-4.6,ISTP,1.1062645350900582,4.561245528051125,0.7733386184137853,3.5273873149091135,0.8555170871667142,0.7013641958097115,0.710215250207841,0.6882591756918712,3.139319087264701,0.7613967170182346,0.8025560796055793,0.48507125007266594
Claude-Opus-4.6,ISFP,1.3076991910969005,5.391781891427295,0.8353111221009331,4.5038153818516244,1.0923356786856344,0.718943627460375,0.8518615534782151,0.25224330635017356,1.3600408914126132,0.3298583676737296,1.265413225658366,0.48507125007266594
Claude-Opus-4.6,INFP,1.5170076060059112,6.254782594427752,0.8849348034662268,5.535074805923899,1.3424528276776122,0.7064930871142115,1.1352990180948468,0.40027835191615774,2.50365406849141,0.607225304376322,1.3901760702892525,0.48507125007266594
Claude-Opus-4.6,INTP,1.1100230737937713,4.576742380124506,0.7857553563074658,3.596199839622211,0.8722065758583333,0.6865907903431666,0.6953677010081722,0.5891551447486312,2.6964113194394486,0.6539758047152899,0.8969207719757423,0.48507125007266594
Claude-Opus-4.6,ESTP,1.5665884222654258,6.459209536870072,0.9107213299243767,5.882539899678529,1.4267254913696996,0.6470345099389718,1.4780404985006528,0.8094277207740436,5.2282632534307085,1.2680400960253086,0.9199313015917017,0.48507125007266594
Claude-Opus-4.6,ESFP,1.1405290079731205,4.7025215689541024,0.8159621581526199,3.8370796481630336,0.930628510781414,0.6593458826359029,1.1149267725201424,0.4252174054153703,1.9995940204604798,0.48497278557129647,1.0322828174891643,0.48507125007266594
Claude-Opus-4.6,ENFP,1.3497563926972327,5.56518817594336,0.8540571650712423,4.752988836634184,1.152769118283785,0.7021151469369331,1.2284929603620045,0.4912676402869374,2.73399686294846,0.6630916380025783,1.1756495222803878,0.48507125007266594
Claude-Opus-4.6,ENTP,1.4371701157407217,5.925604189180154,0.9217664067700453,5.462022881402119,1.3247351335036153,0.5572564648699538,1.3983223726473188,0.7787225327100683,4.6144015020357605,1.119156752464837,0.9016352394347502,0.48507125007266594
Claude-Opus-4.6,ESTJ,1.2481969472158436,5.146447854944435,0.8259336762997268,4.2506245967191,1.0309278933600776,0.7036926159418637,1.119392620615851,0.7828753880861713,4.029027361704868,0.9771826694595778,0.7766013453161184,0.48507125007266594
Claude-Opus-4.6,ESFJ,1.1481602585532718,4.7339860211516225,0.7433482462856952,3.5190002067640545,0.8534829146505049,0.7680096963715984,0.9886656018017486,0.4887900379694371,2.313925207025486,0.5612092963732523,1.0016566801980382,0.48507125007266594
Claude-Opus-4.6,ENFJ,1.1177733564402614,4.6086976141043765,0.7817981429602193,3.603071236171995,0.8738731343154077,0.6969670160699809,1.0149793063510189,0.2821255207782139,1.300231214488509,0.3153523902977209,1.0723666100272058,0.48507125007266594
Claude-Opus-4.6,ENTJ,1.1790999346814632,4.861553573850557,0.8470641563741881,4.1180477767016415,0.9987732914518139,0.6266805950788175,1.0900830766917629,0.517569124202424,2.5161900254809972,0.6102657205402202,1.0088867162864998,0.48507125007266594
Claude-Sonnet-4.6,ISTJ,1.0682145659936004,4.404361486414942,0.8968311382475019,3.9499685251149717,0.9580080851126019,0.4725493284936314,0.8917961328765477,0.3813690694396762,1.6796872415500155,0.407383994994887,0.9874819692647061,0.48507125007266594
Claude-Sonnet-4.6,ISFJ,0.9697325754775874,3.9983098372963433,0.801026529729667,3.2027522537534794,0.7767815197006243,0.5805098953454485,0.8864392640965475,0.5135682325169938,2.053404916195592,0.4980238448021768,0.8320778316665167,0.48507125007266594
Claude-Sonnet-4.6,INFJ,0.8041085266746649,3.3154243899394396,0.8125241574066081,2.693862408880861,0.6533576030998012,0.46873698930485846,0.9488484249612348,0.5605449172000458,1.8584442901416158,0.45073894750470095,0.6659015872283642,0.48507125007266594
Claude-Sonnet-4.6,INTJ,0.868758453564556,3.5819828671949203,0.808727849426436,2.896849300868887,0.7025891558222997,0.5109889712711883,0.7911311424736853,0.372801556190746,1.3353687871388566,0.3238745034427325,0.8061306076930725,0.48507125007266594
Claude-Sonnet-4.6,ISTP,0.8136587919771222,3.3548011425341424,0.7106201421539546,2.383989264805862,0.5782023264195976,0.5724706974899545,0.7291783022307553,0.38435200302073985,1.2894245388692642,0.3127313864718424,0.7511589110681367,0.48507125007266594
Claude-Sonnet-4.6,ISFP,0.6445312289727098,2.657470336063644,0.7501090964847671,1.9933926727197704,0.48346873782093586,0.4262375918087267,0.8932578963173855,0.3685778391500116,0.979484674071593,0.23755992763946268,0.5991542254720439,0.48507125007266594
Claude-Sonnet-4.6,INFP,0.9087688148881088,3.7469498130510557,0.8681730374402313,3.253000800332642,0.7889685823523688,0.450987067413281,1.1727344352137195,0.5248765548222206,1.9666861089660017,0.47699144468834287,0.7735243503647867,0.48507125007266594
Claude-Sonnet-4.6,INTP,0.6963672187696758,2.8711955972049745,0.6878176549906124,1.9748590226888967,0.4789736674264932,0.5054814826371276,0.7222196656235629,0.4137087921450656,1.1878388625319003,0.28809324096662126,0.6339791699151968,0.48507125007266594
Claude-Sonnet-4.6,ESTP,1.6922995001622003,6.977529589348723,0.9502148900883451,6.630152511831173,1.6080481835431866,0.5273126564503181,1.4661509094676453,0.7791199857593677,5.436332754288944,1.3185043624669586,1.0608599551330193,0.48507125007266594
Claude-Sonnet-4.6,ESFP,1.3388688542366678,5.520297704867477,0.9415244660659212,5.197495349100281,1.2605777831174703,0.4511246629875732,1.0933666441536205,0.5598404610867058,3.090486012428892,0.7495529566904856,1.1093872966469187,0.48507125007266594
Claude-Sonnet-4.6,ENFP,1.2835564750393869,5.29223892303287,0.9336488764872002,4.941092924591469,1.1983910608283945,0.4597565550833736,1.2259307885563013,0.7230510697917065,3.8265590148922253,0.9280768824153004,0.8866738548879359,0.48507125007266594
Claude-Sonnet-4.6,ENTP,1.3920687766883955,5.739646604410618,0.9230063731375147,5.297730395428096,1.2848883527291328,0.5356467119769727,1.401014127452035,0.8137038712151449,4.670372661415781,1.1327317525890783,0.8091812255034102,0.48507125007266594
Claude-Sonnet-4.6,ESTJ,1.3624540163601262,5.617541819499812,0.9374038744494082,5.265905466480702,1.2771696736951397,0.4744666176764066,1.1034815146683497,0.696299613007942,3.911492194973649,0.948676204332672,0.9779030657630606,0.48507125007266594
Claude-Sonnet-4.6,ESFJ,1.2105067846003565,4.991047333434076,0.9310370551848149,4.646850011608485,1.127026672015555,0.44174376750446215,0.9712679055349523,0.6787618661536675,3.387732602102999,0.8216458441070136,0.8889458827314333,0.48507125007266594
Claude-Sonnet-4.6,ENFJ,1.072592626903575,4.422412693982155,0.8825854535961496,3.90315711350761,0.9466546501395775,0.504281584689572,1.0106063607978637,0.6185657501306698,2.735553025440468,0.6634690628452355,0.842771467205183,0.48507125007266594
Claude-Sonnet-4.6,ENTJ,1.2265356028829888,5.0571358442672,0.9069301226705839,4.586468831603058,1.1123820847825077,0.5167162495939709,1.0827506933867785,0.5329389866898547,2.6951448523967048,0.6536686413394902,1.037837604092722,0.48507125007266594
DeepSeek-V3.2,ISTJ,1.2556650864465362,5.1772397818194,0.7875100916381176,4.077128575013103,0.9888489272942965,0.7738685988652766,0.8888663578367033,0.4174478919898151,2.1612278332463184,0.5241747433823154,1.1410239470409336,0.48507125007266594
DeepSeek-V3.2,ISFJ,1.0467072024187234,4.3156843546671615,0.644174708060319,2.780054709248205,0.6742623065427142,0.8006037156864367,0.89255362608055,0.6164684329293061,2.6604831711391888,0.6452619488108884,0.8241559227549146,0.48507125007266594
