model,lie_score,acquiescence_bias,midpoint_rate,extreme_rate,sd3_machiavellianism,sd3_narcissism,sd3_psychopathy
Claude-Opus-4.6,0.06666666666666667,1.045384377894412,0.08163265306122448,0.38095238095238093,2.3333333333333335,2.7777777777777777,1.1111111111111112
Claude-Sonnet-4.6,0.06666666666666667,0.9149120098795924,0.23129251700680273,0.19047619047619047,2.111111111111111,2.8,1.6666666666666667
DeepSeek-V3.2,0.2333333333333333,0.9903673973448597,0.06802721088435375,0.027210884353741496,2.8666666666666663,2.9555555555555557,2.533333333333333
DeepSeek-V4-Flash,0.16666666666666666,1.6620561901821556,0.027210884353741496,0.3197278911564626,2.8,2.933333333333333,1.5555555555555556
DeepSeek-V4-Pro,0.16666666666666666,1.0326644025933929,0.02040816326530612,0.04081632653061224,2.7333333333333334,2.688888888888889,1.8000000000000003
GLM-4.6V,0.3666666666666667,0.874776165483174,0.06802721088435375,0.10884353741496598,2.9111111111111114,2.8000000000000003,1.7777777777777777
GPT-5.5,0.3333333333333333,0.6167335597406609,0.23129251700680273,0.19727891156462585,2.2444444444444445,3.088888888888889,1.4666666666666666
GPT_5.2,0.3333333333333333,0.9055881444890401,0.5374149659863946,0.09523809523809523,2.5555555555555554,2.822222222222222,2.3777777777777778
Gemini-3-Flash-Preview,0.3666666666666667,0.36234434496243706,0.2108843537414966,0.20408163265306123,2.7555555555555555,3.0,1.3444444444444443
Gemini-3.1-Flash-Lite,0.3333333333333333,0.97996295152825,0.6258503401360545,0.1836734693877551,2.6666666666666665,3.0,2.977777777777778
Gemini-3.1-Pro-Preview,0.3333333333333333,1.0323556653288046,0.10204081632653061,0.6666666666666666,2.111111111111111,2.4444444444444446,1.0
Gemini_3-Pro-Preview,0.3666666666666667,1.050632911392405,0.11564625850340136,0.6666666666666666,2.177777777777778,2.4222222222222225,1.0
Kimi-K2.5,0.3333333333333333,0.5410929299166409,0.16326530612244897,0.36054421768707484,2.2444444444444445,2.6888888888888887,1.4666666666666666
Kimi-K2.6,0.3333333333333333,0.5102809509107749,0.12244897959183673,0.4217687074829932,2.288888888888889,2.6222222222222222,1.4222222222222223
MiniMax-M2.7,0.3333333333333333,0.6613769682000612,0.10884353741496598,0.1292517006802721,2.5999999999999996,3.177777777777778,2.022222222222222
Qwen3-235B-A22B,0.0,1.819759184933622,0.3197278911564626,0.3945578231292517,2.5555555555555554,3.2222222222222223,1.8888888888888888
