statistic,observed,ci_2.5,ci_97.5,bootstrap_unit,n_bootstrap,seed
default_nearest_distance,0.8280175102092,0.7929718224846469,0.8638934609137002,model,1000,42
target_empirical_cosine,0.8380410135332783,0.7909572997132115,0.8769742182725495,model,1000,42
cross_scale_coherence,0.838858340397422,0.8151221938318658,0.8616425254299012,model,1000,42
